id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23728632,Graça Haus,176818038,Miguel & Vera,Lisboa,Arroios,38.72204,-9.13266,Entire home/apt,,4,61,2019-10-29,0.75,1,0,0,Exempt
23730406,Principe Real Garden Flat,177903783,Bertina,Lisboa,Misericrdia,38.71623,-9.14998,Entire home/apt,96,3,111,2024-10-25,1.36,1,299,26,66201/AL
23731291,Bloom&Shine - Lisbon Home,41605185,Tania,Lisboa,Parque das Naes,38.76091,-9.10088,Entire home/apt,65,30,96,2024-10-24,1.18,1,169,5,Exempt
23738586,Apartamento T2 junto metro da Encarnação,140762454,Ana,Lisboa,Olivais,38.77541,-9.1134,Entire home/apt,,2,28,2020-08-29,0.42,3,0,0,86546/AL
23738832,ALGÉS ROOFTOP 6 ROOMS APARTMENT,5788339,Pedro,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70127,-9.2308,Entire home/apt,300,3,13,2024-07-15,0.41,3,357,4,62474/AL
23744258,Vila with Pool and Ocean View 5,15120803,Martina,Mafra,Ericeira,38.98478,-9.41413,Entire home/apt,133,4,8,2021-06-06,0.10,7,290,0,9273/2015AL
23744308,A modern apartment in Cascais Center,113806312,Saboia Collection,Cascais,Cascais e Estoril,38.70081,-9.4221,Entire home/apt,157,2,114,2024-10-12,1.40,3,296,19,58338/AL
23745822,Tagus 5,115636172,Fernando,Lisboa,Santa Maria Maior,38.71204,-9.12805,Entire home/apt,79,2,89,2024-10-28,1.10,15,365,22,38213/AL
23746638,Casa dos Ciprestes - Ericeira,127314813,Ana,Mafra,Ericeira,38.98017,-9.41019,Entire home/apt,,4,35,2024-08-18,0.45,17,1,1,64060/AL
23758742,Seafront Beach Villa - Unit 1 by Portugal Portfoli,25391913,Portugal Portfolio,Cascais,Cascais e Estoril,38.69682312011719,-9.446187973022461,Entire home/apt,215,1,43,2024-11-26,0.53,48,334,8,29170/AL
23758783,Lisbon Beach Villa,95008749,Filipa,Cascais,Carcavelos e Parede,38.68712,-9.34173,Entire home/apt,489,3,122,2024-12-01,1.54,1,191,27,36233/AL
23763850,Renovated Apartment Near Tagus in City's Downtown Heart,1627456,Pedro & Elisabete,Lisboa,Santa Maria Maior,38.7103,-9.13811,Entire home/apt,170,3,269,2024-11-28,3.29,6,91,30,76472/AL
23769897,Sintra-Casa da Rocha-Refurbished cozy house,178208707,Cristina,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80677,-9.39852,Entire home/apt,101,2,102,2024-11-01,1.25,3,233,11,66682/AL
23770601,Cork Oak Tree House 2,108043011,Vera,Alenquer,Ribafria e Pereiro de Palhacana,39.04844,-9.09465,Entire home/apt,70,3,106,2024-09-05,1.36,2,104,15,60656/AL
23771301,Happy house,178325120,Sérgio,Sintra,Colares,38.82636,-9.46627,Entire home/apt,,3,26,2020-09-15,0.32,1,0,0,66402/AL
23771525,Charming apartment  in Chiado with 2 terraces,28626352,Raquel,Lisboa,Misericrdia,38.71347,-9.14263,Entire home/apt,111,2,211,2024-11-16,2.57,3,333,35,58638/AL
23783937,"Luxury flat with Sea view, pool &parking",178448867,Adel,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.69918,-9.22748,Entire home/apt,275,2,2,2024-09-28,0.70,2,365,2,39828/AL
23784384,BeGuest T2 Lisbon Premium Suite 73a,17263208,BeGuest,Lisboa,Belm,38.69895,-9.22622,Entire home/apt,173,1,34,2024-07-28,0.93,41,274,2,62694/AL
23789506,ribeira dos marinheiros Terra,17279177,Caligrafias Urbanas Unip Lda,Sintra,Colares,38.79823,-9.44736,Entire home/apt,57,2,185,2024-11-07,2.26,5,331,26,Exempt
23797053,UNIQUE STUDIO HOUSE | CITY CENTRE,120054701,Thomas,Lisboa,Misericrdia,38.71534,-9.1475,Entire home/apt,59,3,161,2024-11-20,1.98,19,81,31,56696/AL
